Adana,2 201 670, 51 466, 60 759,- 9 293
Adiyaman, 610 484, 18 789, 21 201,- 2 412
Afyonkarahisar, 714 523, 22 467, 24 400,- 1 933
Agri, 542 255, 14 306, 30 811,- 16 505
Amasya, 326 351, 15 395, 13 609, 1 786
Ankara,5 346 518, 177 166, 159 915, 17 251
Antalya,2 328 555, 79 203, 73 119, 6 084
Artvin, 168 068, 8 240, 9 283,- 1 043
Ayd?n,1 068 260, 40 363, 33 119, 7 244
Bal?kesir,1 196 176, 43 475, 38 566, 4 909
Bilecik, 218 297, 11 031, 9 911, 1 120
Bingol, 269 560, 10 304, 11 205,-  901
Bitlis, 341 225, 12 571, 18 074,- 5 503
Bolu, 299 896, 18 528, 11 762, 6 766
Burdur, 261 401, 12 337, 11 059, 1 278
Bursa,2 901 396, 84 458, 63 812, 20 646
canakkale, 519 793, 25 116, 20 024, 5 092
cankiri, 183 880, 13 371, 13 088,  283
corum, 527 863, 16 688, 20 420,- 3 732
Denizli,1 005 687, 28 170, 24 794, 3 376
Diyarbak?r,1 673 119, 39 177, 55 604,- 16 427
Edirne, 401 701, 16 623, 17 190,-  567
Elaz??, 578 789, 18 990, 20 519,- 1 529
Erzincan, 226 032, 12 666, 12 748,-  82
Erzurum, 762 021, 26 957, 36 340,- 9 383
Eski?ehir, 844 842, 36 687, 25 785, 10 902
Gaziantep,1 974 244, 45 726, 50 003,- 4 277
Giresun, 444 467, 35 376, 20 284, 15 092
Gumushane, 172 034, 26 681, 18 343, 8 338
Hakkari, 267 813, 5 945, 16 067,- 10 122
Hatay,1 555 165, 34 195, 37 627,- 3 432
Isparta, 427 324, 19 899, 17 240, 2 659
Mersin,1 773 852, 54 962, 52 763, 2 199
istanbul,14 804 116, 369 582, 440 889,- 71 307
izmir,4 223 545, 122 668, 98 902, 23 766
Kars, 289 786, 10 209, 16 590,- 6 381
Kastamonu, 376 945, 20 577, 18 898, 1 679
Kayseri,1 358 980, 35 573, 35 540,  33
Kirklareli, 351 684, 16 882, 13 175, 3 707
Kirsehir, 229 975, 12 188, 11 362,  826
Kocaeli,1 830 772, 85 602, 60 479, 25 123
Konya,2 161 303, 56 500, 54 712, 1 788
Kutahya, 573 642, 18 382, 20 691,- 2 309
Malatya, 781 305, 27 777, 27 613,  164
Manisa,1 396 945, 39 999, 35 685, 4 314
Kahramanmaras,1 112 634, 27 307, 28 971,- 1 664
Mardin, 796 237, 21 439, 38 823,- 17 384
Mugla, 923 773, 39 076, 31 520, 7 556
Mus, 406 501, 11 309, 21 683,- 10 374
Nevsehir, 290 895, 11 703, 11 091,  612
Nigde, 351 468, 14 823, 13 589, 1 234
Ordu, 750 588, 42 995, 27 229, 15 766
Rize, 331 048, 15 006, 15 604,-  598
Sakarya, 976 948, 35 228, 28 965, 6 263
Samsun,1 295 927, 41 687, 41 187,  500
Siirt, 322 664, 10 775, 15 068,- 4 293
Sinop, 205 478, 10 190, 9 784,  406
Sivas, 621 224, 22 966, 26 369,- 3 403
Tekirda?, 972 875, 56 536, 32 290, 24 246
Tokat, 602 662, 36 572, 33 380, 3 192
Trabzon, 779 379, 28 680, 26 775, 1 905
Tunceli, 82 193, 4 822, 7 031,- 2 209
sanliurfa,1 940 627, 38 662, 49 789,- 11 127
Usak, 358 736, 11 737, 10 701, 1 036
Van,1 100 190, 28 902, 49 035,- 20 133
Yozgat, 421 041, 17 736, 21 825,- 4 089
Zonguldak, 597 524, 19 991, 21 933,- 1 942
Aksaray, 396 673, 15 234, 12 294, 2 940
Bayburt, 90 154, 16 981, 6 653, 10 328
Karaman, 245 610, 9 519, 9 813,-  294
Kirikkale, 277 984, 14 776, 13 300, 1 476
Batman, 576 899, 18 757, 21 489,- 2 732
??rnak, 483 788, 11 102, 24 122,- 13 020
Bart?n, 192 389, 8 940, 8 108,  832
Ardahan, 98 335, 5 164, 6 880,- 1 716
I?d?r, 192 785, 6 721, 9 368,- 2 647
Yalova, 241 665, 12 825, 10 493, 2 332
Karab�k, 242 347, 16 719, 13 416, 3 303
Kilis, 130 825, 5 740, 8 043,- 2 303
Osmaniye, 522 175, 19 558, 17 683, 1 875
D�zce, 370 371, 15 958, 11 119, 4 839
